
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
iter 0: loss 10.9988, time 17891.50ms, mfu -100.00%
iter 400: loss 7.1553, time 654.20ms, mfu 4.28%
iter 410: loss 6.9697, time 698.23ms, mfu 4.25%
iter 420: loss 7.7143, time 654.52ms, mfu 4.26%
iter 430: loss 7.7068, time 655.62ms, mfu 4.26%
iter 440: loss 7.2150, time 655.62ms, mfu 4.26%
iter 450: loss 6.6617, time 656.43ms, mfu 4.26%
iter 460: loss 6.6694, time 655.42ms, mfu 4.26%
iter 470: loss 7.9115, time 656.57ms, mfu 4.26%
iter 480: loss 6.6766, time 702.29ms, mfu 4.24%
iter 490: loss 6.8019, time 654.88ms, mfu 4.24%
step 500: train loss 6.9449, val loss 6.9842
saving checkpoint to out
iter 500: loss 6.9695, time 17610.03ms, mfu 3.83%
iter 510: loss 7.0517, time 652.00ms, mfu 3.88%
iter 520: loss 6.5906, time 652.26ms, mfu 3.92%
iter 530: loss 7.5444, time 654.37ms, mfu 3.96%
iter 540: loss 7.2435, time 654.36ms, mfu 3.99%
iter 550: loss 6.7712, time 652.89ms, mfu 4.02%
iter 560: loss 6.8628, time 655.63ms, mfu 4.05%
iter 570: loss 6.7730, time 654.15ms, mfu 4.07%
iter 580: loss 6.5828, time 654.15ms, mfu 4.09%
iter 590: loss 6.4800, time 656.70ms, mfu 4.11%
iter 600: loss 6.6700, time 657.42ms, mfu 4.13%
iter 610: loss 7.4844, time 657.44ms, mfu 4.14%
iter 620: loss 7.0344, time 655.18ms, mfu 4.16%
iter 630: loss 6.2537, time 654.67ms, mfu 4.17%
iter 640: loss 6.9342, time 655.77ms, mfu 4.18%
iter 650: loss 6.8283, time 655.10ms, mfu 4.19%
iter 660: loss 6.9118, time 654.99ms, mfu 4.20%
iter 670: loss 6.9257, time 750.98ms, mfu 4.15%
iter 680: loss 6.5996, time 655.48ms, mfu 4.17%
iter 690: loss 7.0496, time 654.43ms, mfu 4.18%
iter 700: loss 7.0409, time 654.47ms, mfu 4.19%
iter 710: loss 6.9068, time 654.66ms, mfu 4.20%
iter 720: loss 7.2825, time 656.42ms, mfu 4.21%
iter 730: loss 6.4643, time 655.17ms, mfu 4.21%
iter 740: loss 6.9619, time 654.49ms, mfu 4.22%
iter 750: loss 6.5012, time 654.37ms, mfu 4.23%
iter 760: loss 7.0196, time 653.82ms, mfu 4.23%
iter 770: loss 6.8493, time 654.19ms, mfu 4.24%
iter 780: loss 6.3073, time 654.10ms, mfu 4.24%
iter 790: loss 6.7963, time 656.26ms, mfu 4.25%
iter 800: loss 7.4941, time 655.80ms, mfu 4.25%
iter 810: loss 7.5376, time 655.99ms, mfu 4.25%
iter 820: loss 6.8416, time 654.73ms, mfu 4.26%
iter 830: loss 6.3935, time 654.28ms, mfu 4.26%
iter 840: loss 7.4504, time 655.94ms, mfu 4.26%
iter 850: loss 6.8661, time 655.86ms, mfu 4.26%
iter 860: loss 6.5486, time 654.73ms, mfu 4.26%
iter 870: loss 6.9872, time 653.57ms, mfu 4.27%
iter 880: loss 6.5315, time 655.02ms, mfu 4.27%
iter 890: loss 6.6137, time 656.19ms, mfu 4.27%
iter 900: loss 6.6289, time 656.28ms, mfu 4.27%
iter 910: loss 6.8306, time 654.18ms, mfu 4.27%
iter 920: loss 6.4129, time 655.00ms, mfu 4.27%
iter 930: loss 6.5126, time 655.68ms, mfu 4.27%
iter 940: loss 6.2919, time 657.06ms, mfu 4.27%
iter 950: loss 6.1391, time 654.79ms, mfu 4.27%
iter 960: loss 6.6488, time 655.98ms, mfu 4.27%
iter 970: loss 6.5789, time 655.01ms, mfu 4.28%
iter 980: loss 6.4293, time 655.72ms, mfu 4.28%
iter 990: loss 6.6974, time 655.74ms, mfu 4.28%
step 1000: train loss 6.6348, val loss 6.6521
saving checkpoint to out
iter 1000: loss 6.0364, time 17774.85ms, mfu 3.86%
iter 1010: loss 6.5871, time 655.38ms, mfu 3.91%
iter 1020: loss 6.7318, time 654.42ms, mfu 3.94%
iter 1030: loss 6.9125, time 652.23ms, mfu 3.98%
iter 1040: loss 6.3920, time 655.21ms, mfu 4.01%
iter 1050: loss 6.4725, time 655.50ms, mfu 4.04%
iter 1060: loss 6.0977, time 656.38ms, mfu 4.06%
iter 1070: loss 6.3723, time 652.98ms, mfu 4.08%
iter 1080: loss 6.3664, time 655.16ms, mfu 4.10%
iter 1090: loss 6.6232, time 656.48ms, mfu 4.12%
iter 1100: loss 6.3133, time 654.88ms, mfu 4.14%
iter 1110: loss 6.4675, time 653.27ms, mfu 4.15%
iter 1120: loss 6.3558, time 654.58ms, mfu 4.17%
iter 1130: loss 6.6379, time 654.31ms, mfu 4.18%
iter 1140: loss 6.8823, time 654.26ms, mfu 4.19%
iter 1150: loss 6.4005, time 654.62ms, mfu 4.20%
iter 1160: loss 6.5928, time 654.25ms, mfu 4.21%
iter 1170: loss 6.7034, time 656.61ms, mfu 4.21%
iter 1180: loss 6.1884, time 654.17ms, mfu 4.22%
iter 1190: loss 6.4206, time 912.40ms, mfu 4.11%
iter 1200: loss 6.7256, time 655.06ms, mfu 4.12%
iter 1210: loss 6.4917, time 655.68ms, mfu 4.14%
iter 1220: loss 6.5031, time 658.99ms, mfu 4.15%
iter 1230: loss 6.2593, time 655.25ms, mfu 4.16%
iter 1240: loss 6.4471, time 656.82ms, mfu 4.18%
iter 1250: loss 6.2421, time 654.26ms, mfu 4.19%
iter 1260: loss 6.5162, time 655.56ms, mfu 4.20%
iter 1270: loss 6.0771, time 654.78ms, mfu 4.20%
iter 1280: loss 6.3018, time 654.62ms, mfu 4.21%
iter 1290: loss 6.5076, time 654.61ms, mfu 4.22%
iter 1300: loss 6.3303, time 654.77ms, mfu 4.23%
iter 1310: loss 6.0421, time 655.00ms, mfu 4.23%
iter 1320: loss 6.4594, time 655.10ms, mfu 4.24%
iter 1330: loss 6.1878, time 655.82ms, mfu 4.24%
iter 1340: loss 5.8783, time 655.67ms, mfu 4.24%
iter 1350: loss 5.9391, time 835.18ms, mfu 4.16%
iter 1360: loss 6.5148, time 656.16ms, mfu 4.17%
iter 1370: loss 6.7071, time 655.85ms, mfu 4.18%
iter 1380: loss 5.9657, time 658.14ms, mfu 4.19%
iter 1390: loss 6.2840, time 653.12ms, mfu 4.20%
iter 1400: loss 6.2454, time 655.49ms, mfu 4.21%
iter 1410: loss 6.1285, time 656.45ms, mfu 4.21%
iter 1420: loss 5.7734, time 656.83ms, mfu 4.22%
iter 1430: loss 6.7403, time 655.72ms, mfu 4.22%
iter 1440: loss 6.3290, time 654.70ms, mfu 4.23%
iter 1450: loss 6.9441, time 655.52ms, mfu 4.24%
iter 1460: loss 6.3298, time 653.79ms, mfu 4.24%
iter 1470: loss 6.4515, time 655.10ms, mfu 4.25%
iter 1480: loss 6.8666, time 653.84ms, mfu 4.25%
iter 1490: loss 6.2130, time 653.60ms, mfu 4.25%
step 1500: train loss 6.2749, val loss 6.3064
saving checkpoint to out
iter 1500: loss 6.1799, time 17768.21ms, mfu 3.84%
iter 1510: loss 6.2606, time 653.15ms, mfu 3.89%
iter 1520: loss 6.4893, time 653.88ms, mfu 3.93%
iter 1530: loss 6.2568, time 652.55ms, mfu 3.97%
iter 1540: loss 6.5516, time 654.74ms, mfu 4.00%
iter 1550: loss 5.9168, time 653.80ms, mfu 4.03%
iter 1560: loss 6.1070, time 655.25ms, mfu 4.05%
iter 1570: loss 7.0977, time 657.19ms, mfu 4.07%
iter 1580: loss 6.2859, time 656.07ms, mfu 4.09%
iter 1590: loss 5.9879, time 656.41ms, mfu 4.11%
iter 1600: loss 6.2326, time 656.75ms, mfu 4.13%
iter 1610: loss 6.1312, time 655.58ms, mfu 4.14%
iter 1620: loss 6.0400, time 654.82ms, mfu 4.16%
iter 1630: loss 5.9096, time 656.20ms, mfu 4.17%
iter 1640: loss 6.2520, time 655.33ms, mfu 4.18%
iter 1650: loss 6.2262, time 655.08ms, mfu 4.19%
iter 1660: loss 6.2484, time 654.75ms, mfu 4.20%
iter 1670: loss 5.9489, time 654.34ms, mfu 4.21%
iter 1680: loss 6.5065, time 656.10ms, mfu 4.22%
iter 1690: loss 6.5480, time 655.99ms, mfu 4.22%
iter 1700: loss 6.2938, time 655.84ms, mfu 4.23%
iter 1710: loss 6.4253, time 655.38ms, mfu 4.23%
iter 1720: loss 6.4148, time 654.07ms, mfu 4.24%
iter 1730: loss 6.2675, time 655.06ms, mfu 4.24%
iter 1740: loss 6.6665, time 656.41ms, mfu 4.25%
iter 1750: loss 6.6188, time 657.44ms, mfu 4.25%
iter 1760: loss 6.0594, time 655.02ms, mfu 4.25%
iter 1770: loss 6.3605, time 657.01ms, mfu 4.25%
iter 1780: loss 6.1908, time 655.01ms, mfu 4.26%
iter 1790: loss 5.7402, time 653.65ms, mfu 4.26%
iter 1800: loss 6.2401, time 657.44ms, mfu 4.26%
iter 1810: loss 6.2873, time 656.11ms, mfu 4.26%
iter 1820: loss 6.1538, time 653.79ms, mfu 4.26%
iter 1830: loss 5.8817, time 653.22ms, mfu 4.27%
iter 1840: loss 6.1448, time 656.01ms, mfu 4.27%
iter 1850: loss 6.0679, time 654.61ms, mfu 4.27%
iter 1860: loss 6.0520, time 654.29ms, mfu 4.27%
iter 1870: loss 6.5537, time 654.08ms, mfu 4.27%
iter 1880: loss 6.2200, time 654.17ms, mfu 4.28%
iter 1890: loss 6.4853, time 656.85ms, mfu 4.27%
iter 1900: loss 6.1783, time 655.25ms, mfu 4.28%
iter 1910: loss 5.9935, time 654.22ms, mfu 4.28%
iter 1920: loss 5.5477, time 655.34ms, mfu 4.28%
iter 1930: loss 5.9767, time 655.49ms, mfu 4.28%
iter 1940: loss 6.0073, time 655.09ms, mfu 4.28%
iter 1950: loss 6.2333, time 654.28ms, mfu 4.28%
iter 1960: loss 5.9352, time 656.05ms, mfu 4.28%
iter 1970: loss 6.2503, time 656.26ms, mfu 4.28%
iter 1980: loss 6.7469, time 656.05ms, mfu 4.28%
iter 1990: loss 5.8953, time 656.19ms, mfu 4.28%
step 2000: train loss 6.1460, val loss 6.1527
saving checkpoint to out
iter 2000: loss 6.5156, time 17641.86ms, mfu 3.87%
iter 2010: loss 5.8402, time 653.18ms, mfu 3.91%
iter 2020: loss 6.5616, time 653.51ms, mfu 3.95%
iter 2030: loss 6.0295, time 653.81ms, mfu 3.98%
iter 2040: loss 5.7877, time 653.65ms, mfu 4.01%
iter 2050: loss 6.1520, time 655.19ms, mfu 4.04%
iter 2060: loss 5.9548, time 655.02ms, mfu 4.06%
iter 2070: loss 6.5358, time 655.28ms, mfu 4.09%
iter 2080: loss 6.4131, time 655.68ms, mfu 4.10%
iter 2090: loss 5.8897, time 656.62ms, mfu 4.12%
iter 2100: loss 6.0175, time 654.91ms, mfu 4.14%
iter 2110: loss 5.8593, time 654.76ms, mfu 4.15%
iter 2120: loss 6.0847, time 656.27ms, mfu 4.16%
iter 2130: loss 6.3842, time 655.09ms, mfu 4.18%
iter 2140: loss 6.1176, time 654.33ms, mfu 4.19%
iter 2150: loss 6.5776, time 654.78ms, mfu 4.20%
iter 2160: loss 5.8447, time 655.20ms, mfu 4.21%
iter 2170: loss 6.1621, time 654.26ms, mfu 4.21%
iter 2180: loss 6.0795, time 655.08ms, mfu 4.22%
iter 2190: loss 6.4628, time 653.63ms, mfu 4.23%
iter 2200: loss 6.1431, time 656.49ms, mfu 4.23%
iter 2210: loss 6.1123, time 654.59ms, mfu 4.24%
iter 2220: loss 6.1640, time 656.48ms, mfu 4.24%
iter 2230: loss 5.9963, time 654.84ms, mfu 4.25%
iter 2240: loss 6.1596, time 654.30ms, mfu 4.25%
iter 2250: loss 5.7741, time 653.19ms, mfu 4.25%
iter 2260: loss 6.2662, time 654.50ms, mfu 4.26%
iter 2270: loss 5.6437, time 654.77ms, mfu 4.26%
iter 2280: loss 5.9228, time 654.12ms, mfu 4.26%
iter 2290: loss 6.4212, time 655.32ms, mfu 4.26%
iter 2300: loss 5.8449, time 654.56ms, mfu 4.27%
iter 2310: loss 6.1028, time 654.47ms, mfu 4.27%
iter 2320: loss 6.4190, time 658.97ms, mfu 4.27%
iter 2330: loss 5.8745, time 655.66ms, mfu 4.27%
iter 2340: loss 6.6809, time 654.49ms, mfu 4.27%
iter 2350: loss 6.0087, time 653.73ms, mfu 4.27%
iter 2360: loss 6.6772, time 655.57ms, mfu 4.27%
iter 2370: loss 6.0613, time 654.43ms, mfu 4.27%
iter 2380: loss 6.2476, time 654.05ms, mfu 4.28%
iter 2390: loss 5.9440, time 655.39ms, mfu 4.28%
iter 2400: loss 6.0682, time 653.52ms, mfu 4.28%
iter 2410: loss 5.9849, time 658.22ms, mfu 4.28%
iter 2420: loss 6.3241, time 654.65ms, mfu 4.28%
iter 2430: loss 5.8017, time 655.66ms, mfu 4.28%
iter 2440: loss 6.8217, time 655.94ms, mfu 4.28%
iter 2450: loss 5.7828, time 654.09ms, mfu 4.28%
iter 2460: loss 5.1433, time 656.51ms, mfu 4.28%
iter 2470: loss 5.8777, time 656.03ms, mfu 4.28%
iter 2480: loss 6.5563, time 654.34ms, mfu 4.28%
iter 2490: loss 5.7575, time 654.27ms, mfu 4.28%
step 2500: train loss 6.0658, val loss 6.1082
saving checkpoint to out
iter 2500: loss 6.2382, time 17587.08ms, mfu 3.87%
iter 2510: loss 5.9860, time 652.05ms, mfu 3.91%
iter 2520: loss 6.0787, time 652.43ms, mfu 3.95%
iter 2530: loss 5.8102, time 652.19ms, mfu 3.99%
iter 2540: loss 6.5597, time 654.05ms, mfu 4.02%
iter 2550: loss 5.8861, time 655.11ms, mfu 4.04%
iter 2560: loss 6.0947, time 655.35ms, mfu 4.07%
iter 2570: loss 6.2474, time 656.26ms, mfu 4.09%
iter 2580: loss 6.1864, time 655.86ms, mfu 4.11%
iter 2590: loss 6.1672, time 654.67ms, mfu 4.12%
iter 2600: loss 5.2435, time 655.98ms, mfu 4.14%
iter 2610: loss 5.9658, time 654.01ms, mfu 4.15%
iter 2620: loss 6.7143, time 653.97ms, mfu 4.17%
iter 2630: loss 6.3934, time 654.44ms, mfu 4.18%
iter 2640: loss 5.5636, time 656.51ms, mfu 4.19%
iter 2650: loss 5.6741, time 653.72ms, mfu 4.20%
iter 2660: loss 6.2034, time 656.74ms, mfu 4.21%
iter 2670: loss 6.0202, time 656.12ms, mfu 4.21%
iter 2680: loss 6.0438, time 656.56ms, mfu 4.22%
iter 2690: loss 6.2031, time 655.31ms, mfu 4.23%
iter 2700: loss 6.2203, time 654.92ms, mfu 4.23%
iter 2710: loss 6.3862, time 656.05ms, mfu 4.24%
iter 2720: loss 6.2218, time 656.25ms, mfu 4.24%
iter 2730: loss 5.8399, time 655.61ms, mfu 4.24%
iter 2740: loss 6.0780, time 654.15ms, mfu 4.25%
iter 2750: loss 6.3891, time 656.08ms, mfu 4.25%
iter 2760: loss 5.7669, time 654.18ms, mfu 4.25%
iter 2770: loss 5.8564, time 654.88ms, mfu 4.26%
iter 2780: loss 5.8789, time 653.28ms, mfu 4.26%
iter 2790: loss 5.4753, time 656.84ms, mfu 4.26%
iter 2800: loss 6.1003, time 654.47ms, mfu 4.26%
iter 2810: loss 6.2041, time 654.31ms, mfu 4.27%
iter 2820: loss 6.5253, time 654.18ms, mfu 4.27%
iter 2830: loss 6.0579, time 654.93ms, mfu 4.27%
iter 2840: loss 5.5670, time 654.18ms, mfu 4.27%
iter 2850: loss 5.7699, time 656.15ms, mfu 4.27%
iter 2860: loss 5.7748, time 654.38ms, mfu 4.27%
iter 2870: loss 5.6733, time 654.28ms, mfu 4.28%
iter 2880: loss 5.6811, time 655.92ms, mfu 4.28%
iter 2890: loss 5.9651, time 655.83ms, mfu 4.28%
iter 2900: loss 5.9683, time 654.08ms, mfu 4.28%
iter 2910: loss 6.2165, time 656.20ms, mfu 4.28%
iter 2920: loss 5.9342, time 654.75ms, mfu 4.28%
iter 2930: loss 6.0645, time 654.74ms, mfu 4.28%
iter 2940: loss 5.9059, time 654.29ms, mfu 4.28%
iter 2950: loss 5.4039, time 653.44ms, mfu 4.28%
iter 2960: loss 5.4515, time 655.30ms, mfu 4.28%
iter 2970: loss 5.8663, time 654.95ms, mfu 4.28%
iter 2980: loss 6.0558, time 654.88ms, mfu 4.28%
iter 2990: loss 6.1048, time 653.22ms, mfu 4.28%
step 3000: train loss 6.0180, val loss 6.0463
saving checkpoint to out
iter 3000: loss 6.3112, time 17715.02ms, mfu 3.87%
iter 3010: loss 6.4011, time 652.86ms, mfu 3.91%
iter 3020: loss 5.9581, time 653.66ms, mfu 3.95%
iter 3030: loss 5.9888, time 654.75ms, mfu 3.98%
iter 3040: loss 6.1447, time 654.53ms, mfu 4.01%
iter 3050: loss 6.2047, time 655.77ms, mfu 4.04%
iter 3060: loss 6.2703, time 654.08ms, mfu 4.07%
iter 3070: loss 6.1008, time 654.45ms, mfu 4.09%
iter 3080: loss 6.7308, time 656.45ms, mfu 4.11%
iter 3090: loss 5.7930, time 655.60ms, mfu 4.12%
iter 3100: loss 5.7982, time 656.17ms, mfu 4.14%
iter 3110: loss 5.8466, time 656.21ms, mfu 4.15%
iter 3120: loss 5.6165, time 657.41ms, mfu 4.16%
iter 3130: loss 5.8263, time 654.58ms, mfu 4.18%
iter 3140: loss 6.1518, time 655.73ms, mfu 4.19%
iter 3150: loss 6.2896, time 654.05ms, mfu 4.20%
iter 3160: loss 6.0333, time 654.89ms, mfu 4.21%
iter 3170: loss 6.3051, time 654.52ms, mfu 4.21%
iter 3180: loss 5.8835, time 654.93ms, mfu 4.22%
iter 3190: loss 6.1705, time 654.18ms, mfu 4.23%
iter 3200: loss 6.0251, time 654.09ms, mfu 4.23%
iter 3210: loss 5.7881, time 656.22ms, mfu 4.24%
iter 3220: loss 5.9130, time 656.12ms, mfu 4.24%
iter 3230: loss 6.0102, time 654.00ms, mfu 4.25%
iter 3240: loss 5.6044, time 654.95ms, mfu 4.25%
iter 3250: loss 6.0975, time 655.52ms, mfu 4.25%
iter 3260: loss 6.4239, time 655.06ms, mfu 4.26%
iter 3270: loss 6.0826, time 655.23ms, mfu 4.26%
iter 3280: loss 6.1446, time 655.28ms, mfu 4.26%
iter 3290: loss 5.8117, time 655.63ms, mfu 4.26%
iter 3300: loss 5.6492, time 653.56ms, mfu 4.27%
iter 3310: loss 5.9668, time 654.65ms, mfu 4.27%
iter 3320: loss 6.2866, time 656.36ms, mfu 4.27%
iter 3330: loss 5.8404, time 653.80ms, mfu 4.27%
iter 3340: loss 5.7930, time 656.48ms, mfu 4.27%
iter 3350: loss 6.3604, time 656.14ms, mfu 4.27%
iter 3360: loss 5.7502, time 658.29ms, mfu 4.27%
iter 3370: loss 6.6663, time 654.35ms, mfu 4.27%
iter 3380: loss 6.7889, time 1342.99ms, mfu 4.05%
iter 3390: loss 5.8252, time 655.11ms, mfu 4.08%
iter 3400: loss 6.1428, time 654.74ms, mfu 4.10%
iter 3410: loss 5.9873, time 655.11ms, mfu 4.12%
iter 3420: loss 6.0285, time 656.47ms, mfu 4.13%
iter 3430: loss 6.6797, time 654.94ms, mfu 4.15%
iter 3440: loss 5.6653, time 656.16ms, mfu 4.16%
iter 3450: loss 6.0805, time 655.52ms, mfu 4.17%
iter 3460: loss 5.6145, time 655.32ms, mfu 4.18%
iter 3470: loss 5.7644, time 656.46ms, mfu 4.19%
iter 3480: loss 6.5307, time 655.48ms, mfu 4.20%
iter 3490: loss 6.2324, time 656.89ms, mfu 4.21%
step 3500: train loss 5.9460, val loss 6.0015
saving checkpoint to out
iter 3500: loss 6.0311, time 17721.28ms, mfu 3.80%
iter 3510: loss 5.9846, time 654.71ms, mfu 3.85%
iter 3520: loss 5.5732, time 653.14ms, mfu 3.90%
iter 3530: loss 6.0002, time 652.63ms, mfu 3.94%
iter 3540: loss 6.1589, time 652.21ms, mfu 3.97%
iter 3550: loss 6.1210, time 654.78ms, mfu 4.00%
iter 3560: loss 6.0212, time 655.24ms, mfu 4.03%
iter 3570: loss 5.9863, time 656.48ms, mfu 4.06%
iter 3580: loss 6.0959, time 656.33ms, mfu 4.08%
iter 3590: loss 6.4665, time 654.81ms, mfu 4.10%
iter 3600: loss 5.7731, time 655.14ms, mfu 4.12%
iter 3610: loss 5.9603, time 656.37ms, mfu 4.13%
iter 3620: loss 5.9986, time 654.17ms, mfu 4.15%
iter 3630: loss 5.1939, time 653.94ms, mfu 4.16%
iter 3640: loss 6.4486, time 653.78ms, mfu 4.17%
iter 3650: loss 5.8367, time 654.42ms, mfu 4.19%
iter 3660: loss 6.3227, time 654.32ms, mfu 4.20%
iter 3670: loss 5.6952, time 654.73ms, mfu 4.21%
iter 3680: loss 5.6784, time 653.97ms, mfu 4.21%
iter 3690: loss 6.4770, time 653.76ms, mfu 4.22%
iter 3700: loss 5.7147, time 653.81ms, mfu 4.23%
iter 3710: loss 6.1236, time 655.23ms, mfu 4.23%
iter 3720: loss 6.1179, time 655.00ms, mfu 4.24%
iter 3730: loss 5.8279, time 654.98ms, mfu 4.24%
iter 3740: loss 5.5553, time 653.86ms, mfu 4.25%
iter 3750: loss 5.3608, time 655.84ms, mfu 4.25%
iter 3760: loss 6.1952, time 654.77ms, mfu 4.25%
iter 3770: loss 5.8902, time 654.27ms, mfu 4.26%
iter 3780: loss 5.9985, time 655.05ms, mfu 4.26%
iter 3790: loss 5.6989, time 654.64ms, mfu 4.26%
iter 3800: loss 6.0664, time 655.19ms, mfu 4.26%
iter 3810: loss 7.2039, time 656.21ms, mfu 4.27%
iter 3820: loss 6.0370, time 654.24ms, mfu 4.27%
iter 3830: loss 5.6702, time 656.79ms, mfu 4.27%
iter 3840: loss 5.9403, time 654.99ms, mfu 4.27%
iter 3850: loss 6.2706, time 657.19ms, mfu 4.27%
iter 3860: loss 5.6489, time 655.31ms, mfu 4.27%
iter 3870: loss 5.7709, time 654.24ms, mfu 4.27%
iter 3880: loss 5.9241, time 654.87ms, mfu 4.27%
iter 3890: loss 5.9369, time 657.29ms, mfu 4.27%
iter 3900: loss 6.1003, time 656.16ms, mfu 4.27%
iter 3910: loss 6.3540, time 656.25ms, mfu 4.27%
iter 3920: loss 5.9301, time 653.66ms, mfu 4.28%
iter 3930: loss 6.1823, time 653.63ms, mfu 4.28%
iter 3940: loss 6.5575, time 656.44ms, mfu 4.28%
iter 3950: loss 5.9013, time 655.29ms, mfu 4.28%
iter 3960: loss 6.0550, time 654.76ms, mfu 4.28%
iter 3970: loss 5.6087, time 656.30ms, mfu 4.28%
iter 3980: loss 5.8406, time 655.85ms, mfu 4.28%
iter 3990: loss 6.1595, time 654.64ms, mfu 4.28%
step 4000: train loss 5.9331, val loss 5.9711
saving checkpoint to out
iter 4000: loss 5.7520, time 17559.18ms, mfu 3.87%
iter 4010: loss 6.1872, time 653.07ms, mfu 3.91%
iter 4020: loss 5.7505, time 653.80ms, mfu 3.95%
iter 4030: loss 6.1005, time 652.88ms, mfu 3.98%
iter 4040: loss 6.0278, time 654.37ms, mfu 4.01%
iter 4050: loss 5.9586, time 656.80ms, mfu 4.04%
iter 4060: loss 6.0288, time 655.26ms, mfu 4.06%
iter 4070: loss 5.7055, time 654.32ms, mfu 4.09%
iter 4080: loss 6.2934, time 654.34ms, mfu 4.11%
iter 4090: loss 6.3759, time 655.23ms, mfu 4.12%
iter 4100: loss 5.7045, time 655.11ms, mfu 4.14%
iter 4110: loss 6.1294, time 654.04ms, mfu 4.15%
iter 4120: loss 6.8182, time 654.66ms, mfu 4.17%
iter 4130: loss 5.9868, time 658.47ms, mfu 4.18%
iter 4140: loss 5.8087, time 653.76ms, mfu 4.19%
iter 4150: loss 6.0548, time 654.92ms, mfu 4.20%
iter 4160: loss 5.8288, time 657.26ms, mfu 4.20%
iter 4170: loss 6.2505, time 654.45ms, mfu 4.21%
iter 4180: loss 6.2840, time 654.58ms, mfu 4.22%
iter 4190: loss 5.6970, time 656.59ms, mfu 4.23%
iter 4200: loss 6.1558, time 656.07ms, mfu 4.23%
iter 4210: loss 6.0631, time 655.54ms, mfu 4.24%
iter 4220: loss 5.3969, time 654.96ms, mfu 4.24%
iter 4230: loss 6.1288, time 654.52ms, mfu 4.24%
iter 4240: loss 5.8560, time 655.17ms, mfu 4.25%
iter 4250: loss 6.1805, time 654.51ms, mfu 4.25%
iter 4260: loss 5.7426, time 655.27ms, mfu 4.26%
