step 0: train loss 10.9873, val loss 10.9915
iter 660: loss 7.8667, time 651.48ms, mfu 4.22%
iter 670: loss 8.0025, time 703.48ms, mfu 4.20%
iter 680: loss 7.7537, time 651.39ms, mfu 4.21%
iter 690: loss 7.9522, time 653.86ms, mfu 4.22%
iter 700: loss 8.0204, time 653.23ms, mfu 4.22%
iter 710: loss 8.0462, time 652.40ms, mfu 4.23%
iter 720: loss 8.3629, time 656.39ms, mfu 4.24%
iter 730: loss 7.7381, time 654.42ms, mfu 4.24%
iter 740: loss 7.9475, time 655.10ms, mfu 4.24%
iter 750: loss 7.5498, time 653.02ms, mfu 4.25%
iter 760: loss 8.2574, time 651.89ms, mfu 4.26%
iter 770: loss 7.8550, time 654.33ms, mfu 4.26%
iter 780: loss 7.4633, time 652.30ms, mfu 4.26%
iter 790: loss 7.7905, time 653.26ms, mfu 4.27%
iter 800: loss 8.5448, time 652.45ms, mfu 4.27%
iter 810: loss 8.8755, time 653.03ms, mfu 4.27%
iter 820: loss 7.8408, time 653.65ms, mfu 4.27%
iter 830: loss 7.5693, time 651.77ms, mfu 4.28%
iter 840: loss 8.6789, time 652.71ms, mfu 4.28%
iter 850: loss 8.1092, time 652.86ms, mfu 4.28%
iter 860: loss 7.6161, time 651.19ms, mfu 4.28%
iter 870: loss 7.9523, time 653.08ms, mfu 4.28%
iter 880: loss 7.4990, time 651.56ms, mfu 4.29%
iter 890: loss 7.7950, time 651.75ms, mfu 4.29%
iter 900: loss 7.7768, time 652.65ms, mfu 4.29%
iter 910: loss 8.1017, time 652.61ms, mfu 4.29%
iter 920: loss 7.4430, time 652.18ms, mfu 4.29%
iter 930: loss 7.4415, time 653.85ms, mfu 4.29%
iter 940: loss 7.1625, time 652.78ms, mfu 4.29%
iter 950: loss 7.1958, time 654.60ms, mfu 4.29%
iter 960: loss 7.7380, time 650.81ms, mfu 4.29%
iter 970: loss 7.4385, time 653.35ms, mfu 4.29%
iter 980: loss 7.5153, time 652.13ms, mfu 4.29%
iter 990: loss 7.7002, time 652.00ms, mfu 4.30%
step 1000: train loss 7.5360, val loss 7.5391
saving checkpoint to out
iter 1000: loss 6.9485, time 17454.94ms, mfu 3.88%
iter 1010: loss 7.7887, time 647.77ms, mfu 3.93%
iter 1020: loss 7.8498, time 648.60ms, mfu 3.97%
iter 1030: loss 7.9314, time 650.27ms, mfu 4.00%
iter 1040: loss 7.4527, time 649.42ms, mfu 4.03%
iter 1050: loss 7.4853, time 650.70ms, mfu 4.06%
iter 1060: loss 7.1835, time 651.37ms, mfu 4.09%
iter 1070: loss 7.2151, time 649.94ms, mfu 4.11%
iter 1080: loss 7.3367, time 651.52ms, mfu 4.13%
iter 1090: loss 7.4779, time 651.62ms, mfu 4.15%
iter 1100: loss 7.3809, time 651.45ms, mfu 4.16%
iter 1110: loss 7.4818, time 652.89ms, mfu 4.18%
iter 1120: loss 7.3399, time 653.13ms, mfu 4.19%
iter 1130: loss 7.5335, time 651.11ms, mfu 4.20%
iter 1140: loss 7.8542, time 650.87ms, mfu 4.21%
iter 1150: loss 7.4098, time 652.21ms, mfu 4.22%
iter 1160: loss 7.4963, time 654.11ms, mfu 4.23%
iter 1170: loss 7.6769, time 653.18ms, mfu 4.23%
iter 1180: loss 7.1590, time 650.34ms, mfu 4.24%
iter 1190: loss 7.3284, time 806.78ms, mfu 4.17%
iter 1200: loss 7.6967, time 651.45ms, mfu 4.18%
iter 1210: loss 7.2728, time 650.80ms, mfu 4.19%
iter 1220: loss 7.1935, time 652.85ms, mfu 4.20%
iter 1230: loss 7.0047, time 653.55ms, mfu 4.21%
iter 1240: loss 7.4333, time 652.87ms, mfu 4.22%
iter 1250: loss 7.1807, time 651.57ms, mfu 4.23%
iter 1260: loss 7.4156, time 651.15ms, mfu 4.24%
iter 1270: loss 7.0434, time 652.52ms, mfu 4.24%
iter 1280: loss 7.2205, time 651.80ms, mfu 4.25%
iter 1290: loss 7.2306, time 651.25ms, mfu 4.26%
iter 1300: loss 7.3198, time 652.55ms, mfu 4.26%
iter 1310: loss 7.1460, time 652.33ms, mfu 4.26%
iter 1320: loss 7.3455, time 652.97ms, mfu 4.27%
iter 1330: loss 7.1503, time 653.16ms, mfu 4.27%
iter 1340: loss 6.9393, time 653.63ms, mfu 4.27%
iter 1350: loss 7.0166, time 775.48ms, mfu 4.21%
iter 1360: loss 7.3581, time 655.22ms, mfu 4.21%
iter 1370: loss 7.5448, time 652.72ms, mfu 4.22%
iter 1380: loss 6.9215, time 651.57ms, mfu 4.23%
iter 1390: loss 7.2877, time 652.91ms, mfu 4.24%
iter 1400: loss 7.2360, time 654.07ms, mfu 4.24%
iter 1410: loss 6.9618, time 650.86ms, mfu 4.25%
iter 1420: loss 6.7022, time 652.13ms, mfu 4.25%
iter 1430: loss 7.5578, time 652.90ms, mfu 4.26%
iter 1440: loss 7.1170, time 650.57ms, mfu 4.26%
iter 1450: loss 7.6516, time 652.97ms, mfu 4.27%
iter 1460: loss 7.1459, time 652.93ms, mfu 4.27%
iter 1470: loss 7.3500, time 654.14ms, mfu 4.27%
iter 1480: loss 7.7775, time 652.92ms, mfu 4.27%
iter 1490: loss 6.9944, time 651.81ms, mfu 4.28%
step 1500: train loss 7.1491, val loss 7.1935
saving checkpoint to out
iter 1500: loss 7.0090, time 17462.07ms, mfu 3.87%
iter 1510: loss 7.1043, time 648.62ms, mfu 3.91%
iter 1520: loss 7.3143, time 649.55ms, mfu 3.95%
iter 1530: loss 7.0573, time 649.57ms, mfu 3.99%
iter 1540: loss 7.3935, time 651.11ms, mfu 4.02%
iter 1550: loss 6.8409, time 651.45ms, mfu 4.05%
iter 1560: loss 7.0671, time 651.40ms, mfu 4.08%
iter 1570: loss 7.7786, time 651.75ms, mfu 4.10%
iter 1580: loss 7.1360, time 650.47ms, mfu 4.12%
iter 1590: loss 6.7970, time 648.81ms, mfu 4.14%
iter 1600: loss 7.0197, time 650.66ms, mfu 4.16%
iter 1610: loss 7.0625, time 651.47ms, mfu 4.17%
iter 1620: loss 7.0095, time 650.23ms, mfu 4.19%
iter 1630: loss 6.7019, time 652.03ms, mfu 4.20%
iter 1640: loss 6.9864, time 653.32ms, mfu 4.21%
iter 1650: loss 7.0483, time 652.29ms, mfu 4.22%
iter 1660: loss 7.1790, time 652.67ms, mfu 4.23%
iter 1670: loss 6.7219, time 653.07ms, mfu 4.23%
iter 1680: loss 7.1670, time 653.99ms, mfu 4.24%
iter 1690: loss 7.5100, time 654.80ms, mfu 4.24%
iter 1700: loss 7.0987, time 655.33ms, mfu 4.25%
iter 1710: loss 7.2555, time 655.29ms, mfu 4.25%
iter 1720: loss 7.1696, time 653.39ms, mfu 4.25%
iter 1730: loss 6.9841, time 652.47ms, mfu 4.26%
iter 1740: loss 7.5263, time 650.21ms, mfu 4.26%
iter 1750: loss 7.4105, time 651.50ms, mfu 4.27%
iter 1760: loss 6.8746, time 654.57ms, mfu 4.27%
iter 1770: loss 7.1674, time 652.71ms, mfu 4.27%
iter 1780: loss 6.9781, time 651.85ms, mfu 4.28%
iter 1790: loss 6.5478, time 652.27ms, mfu 4.28%
iter 1800: loss 7.0357, time 653.12ms, mfu 4.28%
iter 1810: loss 7.0639, time 651.88ms, mfu 4.28%
iter 1820: loss 6.9958, time 654.85ms, mfu 4.28%
iter 1830: loss 6.6534, time 651.70ms, mfu 4.28%
iter 1840: loss 6.8638, time 653.06ms, mfu 4.29%
iter 1850: loss 6.9408, time 651.45ms, mfu 4.29%
iter 1860: loss 6.7630, time 650.94ms, mfu 4.29%
iter 1870: loss 7.3352, time 654.30ms, mfu 4.29%
iter 1880: loss 6.9707, time 652.79ms, mfu 4.29%
iter 1890: loss 7.2203, time 653.42ms, mfu 4.29%
iter 1900: loss 6.8936, time 651.76ms, mfu 4.29%
iter 1910: loss 6.8398, time 653.04ms, mfu 4.29%
iter 1920: loss 6.4114, time 652.88ms, mfu 4.29%
iter 1930: loss 6.7752, time 654.26ms, mfu 4.29%
iter 1940: loss 6.7575, time 651.72ms, mfu 4.29%
iter 1950: loss 7.0327, time 652.43ms, mfu 4.29%
iter 1960: loss 6.7223, time 652.01ms, mfu 4.30%
iter 1970: loss 7.1222, time 654.98ms, mfu 4.29%
iter 1980: loss 7.4048, time 652.63ms, mfu 4.29%
iter 1990: loss 6.5743, time 651.48ms, mfu 4.30%
step 2000: train loss 6.9156, val loss 6.9176
saving checkpoint to out
iter 2000: loss 7.3446, time 17370.80ms, mfu 3.88%
iter 2010: loss 6.6437, time 647.03ms, mfu 3.93%
iter 2020: loss 7.3700, time 650.66ms, mfu 3.97%
iter 2030: loss 6.7984, time 649.73ms, mfu 4.00%
iter 2040: loss 6.3964, time 649.82ms, mfu 4.03%
iter 2050: loss 6.9456, time 649.39ms, mfu 4.06%
iter 2060: loss 6.7073, time 650.02ms, mfu 4.09%
iter 2070: loss 7.2224, time 650.66ms, mfu 4.11%
iter 2080: loss 7.2198, time 649.72ms, mfu 4.13%
iter 2090: loss 6.5616, time 649.98ms, mfu 4.15%
iter 2100: loss 6.7691, time 648.90ms, mfu 4.17%
iter 2110: loss 6.5963, time 651.24ms, mfu 4.18%
iter 2120: loss 6.8008, time 650.32ms, mfu 4.19%
iter 2130: loss 7.1519, time 650.90ms, mfu 4.21%
iter 2140: loss 6.8646, time 650.79ms, mfu 4.22%
iter 2150: loss 7.3437, time 649.91ms, mfu 4.23%
iter 2160: loss 6.4648, time 649.75ms, mfu 4.24%
iter 2170: loss 6.9230, time 651.44ms, mfu 4.24%
iter 2180: loss 6.8511, time 651.13ms, mfu 4.25%
iter 2190: loss 7.0878, time 650.79ms, mfu 4.26%
iter 2200: loss 6.8324, time 651.26ms, mfu 4.26%
iter 2210: loss 6.8388, time 649.31ms, mfu 4.27%
iter 2220: loss 6.8729, time 649.38ms, mfu 4.27%
iter 2230: loss 6.7372, time 650.25ms, mfu 4.28%
iter 2240: loss 6.9536, time 649.10ms, mfu 4.28%
iter 2250: loss 6.4034, time 650.47ms, mfu 4.28%
iter 2260: loss 6.9358, time 651.28ms, mfu 4.29%
iter 2270: loss 6.2334, time 650.96ms, mfu 4.29%
iter 2280: loss 6.5786, time 650.04ms, mfu 4.29%
iter 2290: loss 6.9879, time 650.54ms, mfu 4.29%
iter 2300: loss 6.4813, time 650.00ms, mfu 4.30%
iter 2310: loss 6.8074, time 648.85ms, mfu 4.30%
iter 2320: loss 7.1113, time 651.86ms, mfu 4.30%
iter 2330: loss 6.5812, time 651.54ms, mfu 4.30%
iter 2340: loss 7.8423, time 649.22ms, mfu 4.30%
iter 2350: loss 6.7365, time 651.08ms, mfu 4.30%
iter 2360: loss 7.2830, time 650.10ms, mfu 4.30%
iter 2370: loss 7.0737, time 651.22ms, mfu 4.30%
iter 2380: loss 6.9452, time 652.34ms, mfu 4.30%
iter 2390: loss 6.5758, time 651.60ms, mfu 4.30%
iter 2400: loss 6.7088, time 649.56ms, mfu 4.31%
iter 2410: loss 6.6375, time 651.94ms, mfu 4.31%
iter 2420: loss 6.9763, time 650.61ms, mfu 4.31%
iter 2430: loss 6.3951, time 649.50ms, mfu 4.31%
iter 2440: loss 7.4781, time 649.17ms, mfu 4.31%
iter 2450: loss 6.4237, time 650.93ms, mfu 4.31%
iter 2460: loss 5.6513, time 650.92ms, mfu 4.31%
iter 2470: loss 6.4543, time 650.11ms, mfu 4.31%
iter 2480: loss 7.2165, time 650.14ms, mfu 4.31%
iter 2490: loss 6.3999, time 650.60ms, mfu 4.31%
step 2500: train loss 6.7017, val loss 6.7558
saving checkpoint to out
iter 2500: loss 6.9714, time 17465.39ms, mfu 3.90%
iter 2510: loss 6.6371, time 647.24ms, mfu 3.94%
iter 2520: loss 6.6362, time 646.45ms, mfu 3.98%
iter 2530: loss 6.5060, time 648.11ms, mfu 4.01%
iter 2540: loss 7.1757, time 647.71ms, mfu 4.05%
iter 2550: loss 6.4596, time 650.45ms, mfu 4.07%
iter 2560: loss 6.7296, time 648.45ms, mfu 4.10%
iter 2570: loss 6.8190, time 649.20ms, mfu 4.12%
iter 2580: loss 6.9955, time 649.07ms, mfu 4.14%
iter 2590: loss 6.9648, time 650.59ms, mfu 4.16%
iter 2600: loss 5.7762, time 651.20ms, mfu 4.17%
iter 2610: loss 6.5766, time 649.27ms, mfu 4.19%
iter 2620: loss 7.4141, time 651.19ms, mfu 4.20%
iter 2630: loss 6.9566, time 650.03ms, mfu 4.21%
iter 2640: loss 6.2021, time 650.56ms, mfu 4.22%
iter 2650: loss 6.3190, time 648.55ms, mfu 4.23%
iter 2660: loss 6.8793, time 649.66ms, mfu 4.24%
iter 2670: loss 6.6679, time 650.10ms, mfu 4.25%
iter 2680: loss 6.6799, time 651.64ms, mfu 4.25%
iter 2690: loss 6.9944, time 650.93ms, mfu 4.26%
iter 2700: loss 6.7774, time 649.72ms, mfu 4.27%
iter 2710: loss 6.9124, time 651.92ms, mfu 4.27%
iter 2720: loss 6.9068, time 651.32ms, mfu 4.27%
iter 2730: loss 6.3604, time 649.87ms, mfu 4.28%
iter 2740: loss 6.7393, time 648.53ms, mfu 4.28%
iter 2750: loss 6.9609, time 648.23ms, mfu 4.29%
iter 2760: loss 6.4468, time 648.73ms, mfu 4.29%
iter 2770: loss 6.3708, time 650.09ms, mfu 4.29%
iter 2780: loss 6.4438, time 649.88ms, mfu 4.30%
iter 2790: loss 6.0609, time 650.67ms, mfu 4.30%
iter 2800: loss 6.7673, time 652.08ms, mfu 4.30%
iter 2810: loss 6.7525, time 649.23ms, mfu 4.30%
iter 2820: loss 7.1665, time 650.43ms, mfu 4.30%
iter 2830: loss 6.6236, time 651.19ms, mfu 4.30%
iter 2840: loss 6.1431, time 650.81ms, mfu 4.30%
iter 2850: loss 6.3997, time 650.36ms, mfu 4.30%
iter 2860: loss 6.4314, time 650.80ms, mfu 4.30%
iter 2870: loss 6.2306, time 649.82ms, mfu 4.31%
iter 2880: loss 6.2528, time 649.68ms, mfu 4.31%
iter 2890: loss 6.6027, time 650.31ms, mfu 4.31%
iter 2900: loss 6.6165, time 650.35ms, mfu 4.31%
iter 2910: loss 6.7859, time 651.67ms, mfu 4.31%
iter 2920: loss 6.4558, time 650.51ms, mfu 4.31%
iter 2930: loss 6.5654, time 651.05ms, mfu 4.31%
iter 2940: loss 6.4316, time 649.72ms, mfu 4.31%
iter 2950: loss 5.8947, time 651.42ms, mfu 4.31%
iter 2960: loss 6.0272, time 650.57ms, mfu 4.31%
iter 2970: loss 6.4790, time 649.59ms, mfu 4.31%
iter 2980: loss 6.6331, time 649.25ms, mfu 4.31%
iter 2990: loss 6.6405, time 649.50ms, mfu 4.31%
step 3000: train loss 6.6027, val loss 6.6400
saving checkpoint to out
iter 3000: loss 6.8334, time 17431.88ms, mfu 3.90%
iter 3010: loss 6.9989, time 648.42ms, mfu 3.94%
iter 3020: loss 6.5694, time 646.62ms, mfu 3.98%
iter 3030: loss 6.5792, time 649.63ms, mfu 4.01%
iter 3040: loss 6.7435, time 648.58ms, mfu 4.04%
iter 3050: loss 6.8903, time 649.88ms, mfu 4.07%
iter 3060: loss 6.7991, time 650.86ms, mfu 4.10%
iter 3070: loss 6.5809, time 649.68ms, mfu 4.12%
iter 3080: loss 7.2998, time 650.25ms, mfu 4.14%
iter 3090: loss 6.3936, time 650.12ms, mfu 4.16%
iter 3100: loss 6.3328, time 651.04ms, mfu 4.17%
iter 3110: loss 6.4349, time 649.79ms, mfu 4.19%
iter 3120: loss 6.2710, time 649.64ms, mfu 4.20%
iter 3130: loss 6.5078, time 651.03ms, mfu 4.21%
iter 3140: loss 6.7175, time 649.81ms, mfu 4.22%
iter 3150: loss 6.8239, time 650.81ms, mfu 4.23%
iter 3160: loss 6.5558, time 650.69ms, mfu 4.24%
iter 3170: loss 6.7741, time 650.71ms, mfu 4.25%
iter 3180: loss 6.4310, time 651.77ms, mfu 4.25%
iter 3190: loss 6.7161, time 650.26ms, mfu 4.26%
iter 3200: loss 6.5923, time 649.67ms, mfu 4.26%
iter 3210: loss 6.2757, time 650.32ms, mfu 4.27%
iter 3220: loss 6.4947, time 650.90ms, mfu 4.27%
iter 3230: loss 6.5323, time 651.97ms, mfu 4.28%
iter 3240: loss 6.0924, time 650.05ms, mfu 4.28%
iter 3250: loss 6.6248, time 649.48ms, mfu 4.28%
iter 3260: loss 6.9495, time 651.37ms, mfu 4.29%
iter 3270: loss 6.6524, time 650.53ms, mfu 4.29%
iter 3280: loss 6.6549, time 649.86ms, mfu 4.29%
iter 3290: loss 6.3637, time 651.25ms, mfu 4.29%
iter 3300: loss 6.1180, time 651.37ms, mfu 4.29%
iter 3310: loss 6.4748, time 650.83ms, mfu 4.30%
iter 3320: loss 6.8780, time 650.96ms, mfu 4.30%
iter 3330: loss 6.4494, time 649.11ms, mfu 4.30%
iter 3340: loss 6.3068, time 650.23ms, mfu 4.30%
iter 3350: loss 6.9546, time 651.61ms, mfu 4.30%
iter 3360: loss 6.2289, time 651.48ms, mfu 4.30%
iter 3370: loss 7.2549, time 650.89ms, mfu 4.30%
iter 3380: loss 7.3501, time 1104.54ms, mfu 4.13%
iter 3390: loss 6.3428, time 653.55ms, mfu 4.14%
iter 3400: loss 6.7341, time 650.80ms, mfu 4.16%
iter 3410: loss 6.4335, time 653.06ms, mfu 4.17%
iter 3420: loss 6.6416, time 651.74ms, mfu 4.19%
iter 3430: loss 7.2651, time 651.67ms, mfu 4.20%
iter 3440: loss 6.1098, time 649.22ms, mfu 4.21%
iter 3450: loss 6.6013, time 650.49ms, mfu 4.22%
iter 3460: loss 6.0062, time 650.57ms, mfu 4.23%
iter 3470: loss 6.3041, time 650.45ms, mfu 4.24%
iter 3480: loss 7.1726, time 650.86ms, mfu 4.25%
iter 3490: loss 6.8177, time 652.11ms, mfu 4.25%
step 3500: train loss 6.4747, val loss 6.5329
saving checkpoint to out
iter 3500: loss 6.5396, time 17361.39ms, mfu 3.84%
iter 3510: loss 6.7170, time 647.11ms, mfu 3.89%
iter 3520: loss 6.0786, time 647.92ms, mfu 3.94%
iter 3530: loss 6.4616, time 648.18ms, mfu 3.97%
iter 3540: loss 6.6892, time 650.89ms, mfu 4.01%
iter 3550: loss 6.6775, time 648.82ms, mfu 4.04%
iter 3560: loss 6.4908, time 649.34ms, mfu 4.07%
iter 3570: loss 6.4979, time 650.97ms, mfu 4.09%
iter 3580: loss 6.6495, time 650.78ms, mfu 4.11%
iter 3590: loss 7.0440, time 651.05ms, mfu 4.13%
iter 3600: loss 6.2324, time 649.86ms, mfu 4.15%
iter 3610: loss 6.4500, time 652.27ms, mfu 4.17%
iter 3620: loss 6.4659, time 652.75ms, mfu 4.18%
iter 3630: loss 5.6747, time 650.68ms, mfu 4.19%
iter 3640: loss 7.2767, time 651.46ms, mfu 4.20%
iter 3650: loss 6.3540, time 651.50ms, mfu 4.21%
iter 3660: loss 6.9101, time 650.79ms, mfu 4.22%
iter 3670: loss 6.1479, time 650.21ms, mfu 4.23%
iter 3680: loss 6.3404, time 650.81ms, mfu 4.24%
iter 3690: loss 7.0892, time 652.06ms, mfu 4.25%
iter 3700: loss 6.2651, time 651.84ms, mfu 4.25%
iter 3710: loss 6.6256, time 651.03ms, mfu 4.26%
iter 3720: loss 6.5423, time 651.10ms, mfu 4.26%
iter 3730: loss 6.2912, time 655.78ms, mfu 4.26%
iter 3740: loss 6.0373, time 651.97ms, mfu 4.27%
iter 3750: loss 5.7203, time 653.77ms, mfu 4.27%
iter 3760: loss 6.7228, time 654.07ms, mfu 4.27%
iter 3770: loss 6.4018, time 654.83ms, mfu 4.27%
iter 3780: loss 6.4342, time 653.07ms, mfu 4.28%
iter 3790: loss 6.2148, time 654.66ms, mfu 4.28%
iter 3800: loss 6.6336, time 652.40ms, mfu 4.28%
iter 3810: loss 7.7292, time 654.84ms, mfu 4.28%
iter 3820: loss 6.5372, time 655.19ms, mfu 4.28%
iter 3830: loss 6.0550, time 653.11ms, mfu 4.28%
iter 3840: loss 6.4571, time 653.73ms, mfu 4.28%
iter 3850: loss 6.8454, time 654.29ms, mfu 4.28%
iter 3860: loss 6.0891, time 654.16ms, mfu 4.28%
iter 3870: loss 6.2257, time 651.22ms, mfu 4.29%
iter 3880: loss 6.4491, time 655.44ms, mfu 4.29%
iter 3890: loss 6.4663, time 651.11ms, mfu 4.29%
iter 3900: loss 6.5992, time 651.27ms, mfu 4.29%
iter 3910: loss 6.9284, time 652.96ms, mfu 4.29%
iter 3920: loss 6.4077, time 653.46ms, mfu 4.29%
iter 3930: loss 6.6695, time 653.71ms, mfu 4.29%
iter 3940: loss 7.0843, time 652.00ms, mfu 4.29%
iter 3950: loss 6.4050, time 652.31ms, mfu 4.29%
iter 3960: loss 6.5241, time 653.74ms, mfu 4.29%
iter 3970: loss 6.0868, time 652.88ms, mfu 4.29%
iter 3980: loss 6.3159, time 654.20ms, mfu 4.29%
iter 3990: loss 6.5940, time 652.14ms, mfu 4.29%
step 4000: train loss 6.4126, val loss 6.4442
saving checkpoint to out
iter 4000: loss 6.2193, time 17503.18ms, mfu 3.88%
iter 4010: loss 6.6795, time 650.49ms, mfu 3.92%
iter 4020: loss 6.1690, time 649.69ms, mfu 3.96%
iter 4030: loss 6.6532, time 650.00ms, mfu 4.00%
iter 4040: loss 6.4955, time 650.57ms, mfu 4.03%
iter 4050: loss 6.4329, time 649.79ms, mfu 4.06%
iter 4060: loss 6.6343, time 652.21ms, mfu 4.08%
iter 4070: loss 6.0925, time 649.27ms, mfu 4.11%
iter 4080: loss 6.7956, time 653.00ms, mfu 4.13%
iter 4090: loss 6.9643, time 653.56ms, mfu 4.14%
iter 4100: loss 6.0854, time 653.72ms, mfu 4.16%
iter 4110: loss 6.6014, time 653.14ms, mfu 4.17%
iter 4120: loss 7.4162, time 655.63ms, mfu 4.18%
iter 4130: loss 6.4481, time 652.96ms, mfu 4.19%
iter 4140: loss 6.2934, time 653.32ms, mfu 4.20%
iter 4150: loss 6.5621, time 654.55ms, mfu 4.21%
iter 4160: loss 6.3495, time 652.52ms, mfu 4.22%
iter 4170: loss 6.6936, time 652.21ms, mfu 4.23%
iter 4180: loss 6.8599, time 650.86ms, mfu 4.24%
iter 4190: loss 6.2720, time 653.63ms, mfu 4.24%
iter 4200: loss 6.5260, time 653.26ms, mfu 4.25%
iter 4210: loss 6.5878, time 652.26ms, mfu 4.25%
iter 4220: loss 5.8085, time 652.50ms, mfu 4.26%
iter 4230: loss 6.5303, time 651.72ms, mfu 4.26%
iter 4240: loss 6.3445, time 655.15ms, mfu 4.26%
iter 4250: loss 6.5704, time 651.88ms, mfu 4.27%
iter 4260: loss 6.1734, time 651.98ms, mfu 4.27%
iter 4270: loss 6.0114, time 653.89ms, mfu 4.27%
iter 4280: loss 6.3391, time 655.55ms, mfu 4.27%
iter 4290: loss 6.2686, time 652.68ms, mfu 4.28%
iter 4300: loss 6.1755, time 653.39ms, mfu 4.28%
iter 4310: loss 6.5260, time 656.06ms, mfu 4.28%
iter 4320: loss 6.6510, time 653.28ms, mfu 4.28%
iter 4330: loss 6.3202, time 652.76ms, mfu 4.28%
iter 4340: loss 6.1793, time 653.25ms, mfu 4.28%
iter 4350: loss 6.7732, time 653.44ms, mfu 4.28%
